;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
761;(594, 101);(639, 145);(617, 146);(617, 236);(594, 258);(662, 124);(707, 213);(639, 259);(662, 325);(662, 461);(707, 573);(662, 325);(595, 460);(662, 573);(572, 101);(595, 79);(595, 101);(618, 78);(146, 0)
762;(594, 101);(639, 124);(617, 145);(617, 235);(594, 258);(662, 123);(729, 191);(640, 258);(662, 303);(662, 460);(729, 573);(662, 303);(594, 439);(640, 573);(573, 79);(595, 78);(595, 79);(617, 78);(168, 0)
763;(594, 79);(639, 123);(617, 123);(617, 214);(594, 236);(662, 123);(729, 191);(662, 236);(662, 303);(684, 439);(730, 573);(662, 303);(595, 438);(617, 596);(572, 78);(594, 78);(595, 78);(617, 56);(168, 0)
764;(594, 78);(639, 123);(617, 123);(617, 213);(594, 236);(662, 123);(729, 190);(662, 236);(640, 303);(684, 439);(752, 551);(661, 303);(595, 460);(595, 596);(573, 78);(594, 78);(595, 78);(617, 56);(303, 0)
765;(573, 78);(618, 123);(595, 123);(617, 213);(594, 236);(662, 123);(729, 190);(662, 236);(640, 303);(684, 439);(752, 551);(640, 303);(595, 460);(594, 596);(572, 78);(594, 78);(595, 78);(617, 56);(281, 0)
766;(594, 79);(618, 123);(595, 123);(617, 213);(594, 236);(662, 123);(729, 191);(662, 236);(639, 303);(684, 460);(752, 551);(640, 303);(595, 460);(595, 596);(572, 78);(594, 78);(595, 79);(618, 56);(281, 0)
767;(594, 100);(639, 124);(617, 124);(617, 235);(572, 236);(662, 123);(729, 191);(640, 258);(640, 304);(662, 461);(752, 550);(640, 304);(595, 461);(617, 596);(572, 78);(594, 78);(595, 100);(618, 78);(168, 0)
768;(594, 101);(639, 145);(595, 146);(617, 236);(573, 258);(662, 124);(707, 213);(639, 259);(640, 325);(640, 461);(752, 529);(662, 325);(595, 461);(639, 596);(594, 78);(595, 78);(595, 101);(639, 78);(146, 0)
769;(594, 101);(639, 146);(617, 146);(595, 236);(572, 258);(662, 146);(707, 236);(617, 259);(640, 326);(640, 483);(752, 529);(662, 326);(595, 461);(640, 596);(594, 79);(595, 79);(595, 101);(639, 78);(146, 0)
770;(594, 101);(639, 146);(617, 146);(595, 235);(572, 258);(662, 146);(685, 236);(617, 259);(640, 326);(617, 483);(729, 529);(662, 326);(617, 483);(662, 618);(594, 79);(595, 100);(617, 101);(639, 79);(168, 0)
771;(595, 101);(639, 146);(617, 146);(595, 236);(572, 236);(662, 146);(662, 236);(594, 258);(640, 326);(639, 483);(729, 529);(662, 326);(617, 483);(684, 596);(594, 100);(595, 100);(617, 101);(639, 79);(146, 0)
772;(594, 101);(640, 146);(617, 146);(595, 213);(572, 214);(662, 146);(662, 236);(572, 236);(640, 326);(595, 461);(617, 551);(662, 326);(640, 483);(707, 596);(573, 101);(595, 79);(617, 101);(639, 78);(146, 0)
773;(594, 101);(640, 145);(640, 145);(707, 236);(572, 213);(640, 145);(639, 236);(550, 235);(640, 326);(595, 439);(662, 551);(662, 325);(662, 461);(729, 596);(594, 79);(595, 78);(617, 101);(639, 78);(146, 0)
774;(594, 100);(639, 123);(617, 123);(729, 236);(550, 191);(640, 123);(639, 214);(549, 213);(639, 304);(595, 438);(662, 573);(662, 304);(684, 461);(751, 574);(573, 78);(595, 78);(617, 101);(639, 78);(146, 0)
775;(594, 79);(640, 123);(662, 123);(707, 214);(662, 236);(640, 123);(617, 213);(549, 191);(640, 303);(595, 438);(617, 573);(662, 303);(685, 460);(752, 573);(572, 78);(595, 78);(617, 79);(639, 56);(146, 0)
776;(594, 79);(640, 123);(662, 123);(707, 213);(662, 236);(639, 123);(617, 213);(549, 191);(640, 303);(595, 438);(595, 573);(662, 303);(685, 460);(774, 573);(594, 78);(595, 78);(595, 78);(639, 56);(168, 0)
777;(594, 78);(640, 123);(662, 123);(707, 213);(662, 236);(639, 123);(617, 213);(550, 191);(640, 303);(617, 438);(594, 573);(662, 303);(706, 460);(774, 573);(594, 78);(595, 78);(595, 78);(639, 56);(146, 0)
778;(594, 79);(640, 123);(662, 123);(707, 213);(684, 236);(639, 123);(617, 213);(550, 213);(640, 303);(617, 438);(594, 595);(662, 303);(685, 460);(775, 551);(573, 78);(595, 78);(617, 78);(639, 56);(168, 0)
779;(594, 100);(639, 124);(617, 123);(707, 235);(662, 258);(639, 123);(639, 235);(550, 214);(639, 325);(595, 438);(595, 596);(662, 325);(684, 461);(775, 551);(594, 78);(595, 78);(595, 79);(639, 78);(168, 0)
780;(594, 101);(639, 145);(617, 124);(707, 236);(572, 213);(640, 145);(640, 236);(572, 236);(640, 326);(595, 439);(617, 596);(662, 326);(662, 483);(774, 551);(594, 78);(595, 78);(595, 101);(639, 78);(124, 0)
781;(594, 101);(639, 146);(617, 146);(617, 236);(572, 236);(640, 146);(662, 236);(572, 258);(639, 326);(595, 460);(639, 596);(662, 326);(661, 483);(774, 551);(573, 101);(595, 100);(595, 101);(639, 78);(124, 0)
782;(594, 101);(639, 146);(617, 146);(617, 236);(594, 258);(640, 146);(662, 236);(595, 281);(640, 326);(617, 483);(662, 596);(662, 326);(639, 483);(752, 551);(573, 101);(595, 100);(617, 101);(639, 79);(124, 0)
783;(594, 101);(639, 146);(617, 146);(595, 235);(573, 258);(662, 146);(706, 236);(617, 281);(662, 326);(617, 483);(684, 596);(662, 326);(617, 483);(729, 551);(573, 101);(595, 100);(617, 101);(639, 79);(124, 0)
784;(594, 101);(639, 146);(617, 146);(617, 214);(572, 236);(662, 146);(707, 235);(640, 281);(640, 325);(617, 461);(707, 551);(662, 325);(617, 461);(707, 551);(573, 101);(595, 100);(617, 101);(639, 79);(124, 0)
785;(594, 101);(639, 146);(617, 146);(617, 236);(573, 236);(662, 145);(729, 213);(662, 281);(662, 326);(662, 461);(706, 574);(662, 326);(595, 461);(707, 595);(573, 101);(595, 79);(595, 101);(639, 78);(34, 0)
786;(594, 101);(639, 145);(617, 146);(617, 236);(595, 258);(662, 123);(730, 213);(707, 259);(662, 304);(662, 461);(729, 574);(662, 304);(595, 460);(662, 574);(573, 100);(595, 78);(595, 101);(617, 78);(146, 0)
787;(594, 100);(640, 124);(617, 145);(617, 236);(594, 258);(662, 123);(730, 191);(707, 258);(662, 303);(684, 460);(730, 573);(662, 303);(595, 439);(639, 596);(594, 79);(595, 78);(595, 79);(617, 78);(101, 0)
788;(594, 79);(639, 123);(617, 124);(617, 214);(595, 236);(662, 123);(752, 190);(729, 236);(662, 303);(685, 439);(752, 573);(662, 303);(595, 438);(595, 596);(594, 78);(595, 78);(595, 78);(618, 56);(258, 0)
789;(594, 79);(639, 123);(617, 123);(617, 214);(595, 236);(662, 123);(752, 169);(729, 236);(662, 303);(685, 439);(752, 551);(662, 303);(595, 439);(594, 596);(594, 78);(595, 78);(595, 78);(639, 56);(168, 0)
790;(594, 79);(639, 123);(617, 123);(617, 214);(594, 236);(662, 123);(751, 190);(729, 236);(639, 281);(684, 460);(774, 551);(662, 303);(595, 460);(595, 596);(594, 78);(595, 78);(595, 78);(639, 56);(258, 0)
791;(594, 100);(640, 124);(617, 145);(617, 236);(572, 236);(662, 123);(751, 191);(707, 258);(640, 303);(662, 461);(774, 551);(662, 303);(595, 460);(595, 596);(594, 78);(595, 78);(617, 100);(639, 78);(236, 0)
792;(594, 101);(639, 146);(617, 146);(594, 191);(572, 236);(662, 145);(730, 213);(685, 281);(640, 326);(662, 461);(752, 550);(640, 326);(595, 461);(617, 596);(594, 79);(595, 79);(595, 123);(639, 78);(258, 0)
793;(595, 101);(639, 146);(617, 146);(595, 235);(572, 236);(662, 146);(729, 235);(662, 281);(639, 326);(639, 483);(752, 528);(661, 326);(595, 461);(639, 618);(594, 101);(595, 100);(617, 101);(639, 78);(258, 0)
794;(595, 101);(640, 146);(617, 168);(595, 236);(572, 236);(662, 146);(707, 236);(640, 281);(640, 326);(617, 483);(729, 528);(662, 326);(595, 483);(662, 596);(594, 101);(595, 101);(617, 101);(639, 101);(168, 0)
795;(595, 123);(640, 168);(617, 168);(595, 236);(573, 258);(662, 146);(685, 258);(617, 281);(640, 326);(639, 483);(707, 528);(662, 326);(617, 483);(662, 596);(595, 101);(595, 101);(617, 101);(639, 101);(258, 0)
796;(595, 101);(640, 146);(617, 146);(595, 214);(572, 258);(662, 146);(684, 258);(595, 259);(640, 326);(594, 461);(706, 528);(662, 326);(617, 483);(685, 596);(595, 101);(617, 101);(617, 101);(640, 100);(168, 0)
797;(595, 101);(640, 146);(617, 146);(595, 213);(572, 236);(662, 146);(662, 236);(572, 236);(640, 326);(594, 460);(639, 551);(662, 326);(640, 461);(707, 596);(595, 101);(617, 101);(617, 101);(639, 79);(146, 0)
798;(595, 101);(640, 146);(639, 145);(617, 213);(572, 235);(662, 146);(640, 236);(572, 236);(639, 326);(594, 439);(662, 551);(662, 326);(662, 461);(729, 596);(595, 101);(617, 79);(617, 101);(640, 78);(146, 0)
799;(595, 101);(640, 123);(639, 123);(707, 236);(572, 191);(662, 123);(639, 214);(572, 213);(639, 325);(594, 438);(639, 573);(662, 304);(684, 461);(751, 574);(594, 100);(595, 78);(617, 101);(639, 78);(146, 0)
800;(595, 100);(662, 123);(661, 123);(707, 236);(572, 191);(662, 123);(639, 213);(572, 213);(640, 304);(595, 438);(595, 573);(662, 304);(684, 460);(752, 573);(595, 78);(617, 78);(617, 78);(639, 78);(146, 0)
801;(595, 79);(661, 123);(662, 123);(707, 235);(572, 191);(662, 123);(639, 213);(572, 213);(640, 303);(595, 438);(594, 573);(662, 303);(684, 460);(774, 573);(595, 78);(595, 78);(617, 78);(639, 56);(168, 0)
802;(595, 79);(640, 123);(640, 123);(707, 235);(662, 236);(662, 123);(640, 213);(572, 213);(640, 303);(617, 438);(594, 573);(662, 303);(684, 460);(774, 551);(595, 78);(595, 78);(617, 78);(639, 56);(168, 0)
803;(595, 100);(640, 123);(639, 123);(707, 235);(572, 213);(662, 123);(640, 214);(572, 214);(640, 304);(595, 438);(595, 574);(662, 304);(684, 461);(774, 551);(594, 78);(595, 78);(617, 79);(639, 78);(146, 0)
804;(595, 101);(640, 145);(617, 145);(707, 236);(572, 235);(662, 145);(662, 236);(572, 236);(640, 326);(595, 438);(617, 595);(662, 326);(662, 461);(774, 550);(595, 100);(595, 79);(617, 101);(639, 78);(146, 0)
805;(595, 101);(640, 146);(639, 146);(595, 235);(573, 236);(662, 146);(662, 236);(594, 259);(640, 326);(595, 460);(639, 596);(662, 326);(640, 483);(752, 550);(594, 100);(595, 100);(617, 101);(639, 79);(146, 0)
806;(595, 101);(640, 146);(639, 146);(617, 236);(594, 258);(662, 146);(662, 236);(594, 303);(640, 326);(617, 483);(640, 596);(662, 326);(617, 483);(730, 529);(595, 101);(617, 101);(617, 101);(639, 100);(146, 0)
807;(595, 123);(640, 146);(639, 146);(617, 213);(594, 235);(662, 146);(684, 258);(617, 303);(662, 326);(617, 483);(662, 596);(662, 326);(617, 483);(729, 550);(594, 101);(595, 101);(617, 101);(639, 100);(146, 0)
808;(595, 123);(640, 146);(639, 146);(617, 235);(595, 235);(662, 146);(685, 258);(639, 325);(662, 326);(595, 461);(639, 551);(662, 326);(595, 461);(707, 551);(594, 101);(595, 101);(617, 101);(639, 100);(146, 0)
809;(595, 101);(640, 146);(617, 146);(617, 236);(595, 258);(662, 146);(707, 236);(662, 325);(662, 326);(640, 461);(685, 573);(662, 326);(594, 461);(685, 573);(594, 101);(595, 101);(617, 101);(639, 100);(168, 0)
810;(595, 101);(640, 146);(617, 146);(639, 236);(595, 258);(662, 145);(707, 236);(684, 303);(640, 303);(662, 461);(729, 574);(662, 304);(594, 439);(662, 573);(594, 101);(595, 100);(617, 101);(639, 78);(146, 0)
