;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
653;(729, 101);(684, 168);(617, 168);(549, 236);(594, 304);(729, 168);(819, 146);(864, 101);(639, 371);(573, 528);(528, 641);(707, 371);(752, 505);(730, 641);(707, 79);(729, 78);(662, 100);(640, 191);(0, 0)
654;(729, 101);(684, 168);(617, 168);(549, 236);(573, 304);(729, 168);(819, 146);(864, 101);(639, 371);(573, 528);(528, 641);(707, 371);(752, 505);(730, 641);(707, 78);(729, 78);(662, 100);(707, 78);(0, 0)
655;(729, 101);(684, 168);(617, 168);(528, 236);(572, 304);(729, 168);(819, 146);(864, 101);(618, 393);(572, 528);(528, 641);(707, 371);(752, 505);(730, 641);(707, 78);(729, 78);(662, 100);(707, 78);(0, 0)
656;(729, 101);(684, 168);(617, 168);(528, 236);(572, 304);(729, 168);(819, 146);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 505);(730, 641);(707, 78);(729, 78);(662, 100);(707, 78);(0, 0)
657;(729, 100);(684, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 505);(730, 640);(707, 78);(707, 78);(662, 100);(707, 78);(0, 0)
658;(729, 100);(684, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 505);(730, 640);(707, 78);(707, 78);(662, 100);(617, 191);(0, 0)
659;(729, 100);(684, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 505);(730, 641);(707, 78);(707, 78);(662, 100);(617, 191);(0, 0)
660;(707, 100);(662, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 506);(730, 641);(707, 78);(707, 78);(662, 100);(617, 191);(0, 0)
661;(707, 100);(662, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 506);(730, 641);(707, 78);(707, 78);(662, 100);(617, 191);(0, 0)
662;(707, 79);(662, 168);(617, 168);(527, 236);(572, 303);(729, 169);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 506);(730, 641);(706, 78);(707, 78);(662, 100);(617, 191);(0, 0)
663;(707, 100);(662, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 506);(730, 641);(706, 78);(707, 78);(662, 100);(617, 191);(0, 0)
664;(707, 100);(662, 168);(617, 168);(527, 236);(572, 303);(729, 168);(819, 168);(864, 101);(617, 371);(572, 528);(528, 641);(707, 371);(752, 506);(730, 641);(685, 78);(707, 78);(662, 100);(617, 191);(0, 0)
